"target","n","k","RMSPE","CRPS","coverage_95","mean_interval_width","mean_error","MAE","bias","cor","slope","model","diagnostics_passed","rep_id","eff_range","prior_scale"
"observed",49,5,18.4085075370457,10.5148264117409,0.938775510204082,73.4425031415765,-0.165713115572826,15.1732186718502,-0.165713115572826,0.988264479015905,0.99003396966032,"nonspatial",TRUE,7,0,500
"latent",49,5,2.37921683458024,1.99562134134901,1,30.8416063833822,-1.19958857497401,1.85393363519367,-1.19958857497401,0.999921933439082,0.988035264732948,"spatial",TRUE,8,0,500
"observed",49,5,12.4821965841034,7.06268280966118,0.959183673469388,54.4839112517978,0.0400595988630023,9.76433093708769,0.0400595988630023,0.994668620684119,1.00590383453749,"spatial",TRUE,8,0,500
"latent",49,5,2.36343165287929,1.29700293654665,1,11.153466209855,-1.18868879905652,1.84805528979696,-1.18868879905652,0.999928823499198,0.987628220950625,"nonspatial",TRUE,8,0,500
"observed",49,5,12.4378390772376,6.99208376488789,0.959183673469388,51.7639867734629,0.0884807536011388,9.70120879646594,0.0884807536011388,0.9947045338023,1.00548180604127,"nonspatial",TRUE,8,0,500
"latent",49,5,1.57368244619429,2.19151774077581,1,38.81185516984,0.540659241759495,1.20950784345477,0.540659241759495,0.999929916059644,0.995957847839293,"spatial",TRUE,9,0,500
"observed",49,5,16.4330623100224,9.41837862910548,0.979591836734694,68.9251076077975,-0.15090835330388,13.2103468254752,-0.15090835330388,0.990414014382216,0.991852755268557,"spatial",TRUE,9,0,500
"latent",49,5,1.6660829099412,1.100480093694,1,14.3503402798248,0.623698546192056,1.2532238787171,0.623698546192056,0.999925754235636,0.995259822958442,"nonspatial",TRUE,9,0,500
"observed",49,5,16.3455240618196,9.37813715249384,0.938775510204082,66.9866457486781,-0.0356592872179682,13.0764006617803,-0.0356592872179682,0.990516576051088,0.991778526316308,"nonspatial",TRUE,9,0,500
"latent",49,5,1.5599415894984,2.04424893064369,1,35.5842265389844,-0.911803797090976,1.3404162332611,-0.911803797090976,0.999943191356125,0.998873317680819,"spatial",TRUE,10,0,500
"observed",49,5,14.4619082980286,8.2050927942801,0.979591836734694,62.6264729709381,-0.00262818922850117,11.5698607394342,-0.00262818922850117,0.992653381708801,1.00345071321602,"spatial",TRUE,10,0,500
"latent",49,5,1.49594023082273,1.0444245389313,1,13.0254832339187,-0.888432539106798,1.26300353207914,-0.888432539106798,0.99994853591974,0.999025054061601,"nonspatial",TRUE,10,0,500
"observed",49,5,14.4259458920106,8.17347617893902,0.959183673469388,59.9153738122735,0.0750054254625586,11.5328839296723,0.0750054254625586,0.992689720694111,1.00329521017502,"nonspatial",TRUE,10,0,500
"latent",49,5,19.1299913968886,11.0124514726963,0.836734693877551,52.2386986636452,-1.22158951897441,15.043011603418,-1.22158951897441,0.986861396924672,1.0282656299863,"spatial",TRUE,1,50,500
"observed",49,5,26.2439478731578,14.817104462429,0.857142857142857,92.813657601277,0.217037059096615,20.5867765821518,0.217037059096615,0.974873096741494,1.022522366273,"spatial",TRUE,1,50,500
"latent",49,5,19.0887830091453,12.5371558605334,0.408163265306122,19.8944444042117,-1.27833142366666,14.9805752762142,-1.27833142366666,0.986940444866388,1.02884224344176,"nonspatial",TRUE,1,50,500
"observed",49,5,26.2310325601693,14.7858444755429,0.897959183673469,92.2443883733961,0.181550562023693,20.5191215171027,0.181550562023693,0.974897617586426,1.0225106128456,"nonspatial",TRUE,1,50,500
"latent",49,5,19.663550107344,11.4944574504644,0.857142857142857,52.4659805140677,-0.289053908619434,15.789524444538,-0.289053908619434,0.987425695253799,1.04095623444066,"spatial",TRUE,2,50,500
"observed",49,5,25.6763354589675,14.4711751273836,0.918367346938776,96.4302367418546,0.0547747896017149,19.8415501859487,0.0547747896017149,0.976687688560161,1.01674491689868,"spatial",TRUE,2,50,500
"latent",49,5,19.6120313826172,13.1971562492335,0.326530612244898,20.9065171540341,-0.336439466309937,15.7013845449323,-0.336439466309937,0.987528264103883,1.04181690027459,"nonspatial",TRUE,2,50,500
"observed",49,5,25.6087691768596,14.4185186485515,0.918367346938776,95.7042516816116,0.200127807609942,19.752902140187,0.200127807609942,0.97684078479935,1.018404582113,"nonspatial",TRUE,2,50,500
"latent",49,5,20.4185604906663,11.7480349042643,0.857142857142857,60.2520173727613,-1.37874673427793,15.7236759866033,-1.37874673427793,0.985745398278966,0.996640100056708,"spatial",TRUE,3,50,500
"observed",49,5,27.5007883107634,15.9118420135009,0.938775510204082,109.941548827024,-0.121664355218125,22.7498359945293,-0.121664355218125,0.974144469119381,0.988976350186803,"spatial",TRUE,3,50,500
"latent",49,5,20.4040720920673,13.2404843840499,0.448979591836735,23.2053732427701,-1.42059298431272,15.723723195207,-1.42059298431272,0.985777071817085,0.994939393887276,"nonspatial",TRUE,3,50,500
"observed",49,5,27.5031470304953,15.8861850788097,0.938775510204082,110.32013555557,-0.0579058670479015,22.5452531449622,-0.0579058670479015,0.974162055234363,0.987114106208444,"nonspatial",TRUE,3,50,500
"latent",49,5,20.1140915121683,11.8072341119503,0.795918367346939,58.7845113309892,0.576726456307922,15.8426500887615,0.576726456307922,0.98652963663273,1.04709376426244,"spatial",TRUE,4,50,500
"observed",49,5,26.1849314821055,14.7920290151279,0.938775510204082,103.249840034972,0.253353264291812,20.5376673064535,0.253353264291812,0.974452787220419,1.01416010074548,"spatial",TRUE,4,50,500
"latent",49,5,20.2180326121486,13.5065466741531,0.448979591836735,21.9095354445943,0.595038313398739,15.8945903904438,0.595038313398739,0.986373203294961,1.04694813922528,"nonspatial",TRUE,4,50,500
"observed",49,5,26.4197307317503,15.033395187037,0.918367346938776,102.016197931852,0.15158811780365,20.9824227453068,0.15158811780365,0.973986872404789,1.0144487742452,"nonspatial",TRUE,4,50,500
"latent",49,5,21.1924811565252,12.3690676510887,0.816326530612245,56.2936829495761,-0.38064746595335,16.3146564821267,-0.38064746595335,0.98550480839022,0.978878193507712,"spatial",TRUE,5,50,500
"observed",49,5,25.7554620996864,14.7484905840281,0.959183673469388,103.776080813406,0.00835188411781792,20.6661076659861,0.00835188411781792,0.979359760369901,1.00066205942093,"spatial",TRUE,5,50,500
"latent",49,5,21.1041387921279,13.9957674244295,0.408163265306122,22.2717573643256,-0.339115916956102,16.2697400804546,-0.339115916956102,0.985620060836547,0.979207036216077,"nonspatial",TRUE,5,50,500
