"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
4,"lp",1.00211745077733,1287.07228225516,1885.80570850851,TRUE,"spatial",10000,5001,10,2000,2,0,500
5,"tau_B_sq",1.00125007790162,1787.14546794492,2395.38181995837,TRUE,"spatial",10000,5001,10,2000,2,0,500
5,"sigma_sq",1.00146418566679,1502.52988676484,2037.18062409591,TRUE,"spatial",10000,5001,10,2000,2,0,500
5,"eff_range",1.00284850438728,1567.82203246282,2174.20806513104,TRUE,"spatial",10000,5001,10,2000,2,0,500
5,"lp",1.00279189959817,1455.53020935516,1773.43968078168,TRUE,"spatial",10000,5001,10,2000,2,0,500
1,"tau_B_sq",1.00052883032537,4215.00214792848,4344.26364559038,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
1,"lp",1.00058448523826,3018.58442729624,2956.70624085619,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
2,"tau_B_sq",1.00152038708552,3966.33312308699,3968.1549334572,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
2,"lp",1.00083150715353,2746.98597562422,2910.8142384411,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
3,"tau_B_sq",1.00132717989473,3406.11552693297,3403.75281915525,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
3,"lp",1.00158518667811,2901.79778874886,2817.43859528334,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
4,"tau_B_sq",1.00115897930218,4204.63104350107,4225.71034655689,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
4,"lp",1.00066935207356,3123.87154754067,3150.44267725038,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
5,"tau_B_sq",1.00328787355252,3846.95623919816,3977.37811473291,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
5,"lp",1.00276256993467,2987.44258091345,2744.57498943587,TRUE,"nonspatial",10000,5001,10,2000,2,0,500
1,"tau_B_sq",1.00277641545964,1760.08635688476,2185.29631522555,TRUE,"spatial",10000,5001,10,2000,3,0,500
