"prior_scale","target","model","eff_range","n_reps","RMSPE_mean","RMSPE_se","RMSPE_sd","CRPS_mean","CRPS_se","CRPS_sd","coverage_95_mean","coverage_95_se","coverage_95_sd","mean_interval_width_mean","mean_interval_width_se","mean_interval_width_sd"
500,"latent","nonspatial",350,10,24.6673351674799,0.794189821033012,2.51144872898582,17.2837101817108,0.649162635842974,2.05283250114226,0.346938775510204,0.0160981762805432,0.0509069032214142,24.6243809187817,0.67906580583022,2.14739462756114
500,"latent","nonspatial",750,10,23.0568068881616,1.17273411100529,3.70851088054944,16.1690954572929,0.937133875414437,2.96347751881009,0.346938775510204,0.0241472644208148,0.0763603548321213,23.719084744478,0.930234556657788,2.94165995723556
500,"latent","nonspatial",1000,10,22.2586763377485,1.28485229046814,4.06305969476357,15.5576922304436,1.0318651255286,3.26304403476594,0.357142857142857,0.0158811122856173,0.0502204865994333,23.2921336710056,1.00656454591539,3.18303657706578
500,"latent","spatial",0,10,3.16581972543316,0.394730693014788,1.24824805230345,2.5085892148491,0.113832768042363,0.359970819375493,1,0,0,38.6551370146607,1.09768077561081,3.47117139471035
500,"latent","spatial",50,10,19.9722465520049,0.449682234603384,1.42202008466088,11.8143647197945,0.298323775557094,0.943382610941283,0.830612244897959,0.0101129719369514,0.031980025234131,55.9091724219897,1.03099360000491,3.2602880290721
500,"latent","spatial",150,10,24.6668020390975,0.586573347720253,1.85490779354593,14.856032810868,0.41306446555674,1.30622453163947,0.797959183673469,0.0150430914200653,0.0475704319375431,64.1293484279551,1.47498998287079,4.66432787180445
500,"latent","spatial",350,10,23.4133873283447,0.573408019215104,1.81327536932532,13.9621171633855,0.380448985043844,1.20308532623788,0.842857142857143,0.0201915946661984,0.0638514287360943,68.5262177569589,2.9815397382448,9.42845650715581
500,"latent","spatial",750,10,19.6618814506749,0.750782237881305,2.37418189850327,11.4885351781011,0.47246930298564,1.49407912194682,0.906122448979592,0.0251240616498223,0.0794492588879262,66.051982007292,3.00147257277119,9.49148966448246
500,"latent","spatial",1000,10,18.2074818590967,0.822835788641738,2.6020352324088,10.5500223228377,0.486149976515581,1.5373412102266,0.920408163265306,0.0234570607477098,0.0741777391756951,64.3356673527989,2.6193791875911,8.28320428842934
500,"observed","nonspatial",0,10,16.5214226255483,0.588007059711987,1.85944158894851,9.40541896525652,0.343950400033523,1.08766666623199,0.942857142857143,0.00509069032214141,0.0160981762805431,66.1291940674444,1.98998433683527,6.29288301245915
500,"observed","nonspatial",50,10,26.0014737014494,0.484234288386241,1.53128327245134,14.7996361128221,0.295571386430376,0.934678792293772,0.93265306122449,0.00683665008239516,0.0216193858259465,100.551061125897,2.1145640259702,6.68683858032128
500,"observed","nonspatial",150,10,29.7501706423912,0.503621460934021,1.59259089509302,16.9604720598415,0.322341076223174,1.01933198429517,0.928571428571429,0.00873825345487424,0.027632783689238,114.104943021497,2.38180024673299,7.53191371122726
500,"observed","nonspatial",350,10,29.7030229874062,0.800197941734737,2.53044807486048,16.9432298953826,0.483854704275657,1.53008292209829,0.936734693877551,0.00565076453259732,0.0178692864443043,114.536996577384,3.28481385514966,10.3874934719513
500,"observed","nonspatial",750,10,28.3631211143699,1.14580570400659,3.62335578067353,16.2107349800916,0.698110329274348,2.20761869859706,0.942857142857143,0.0066652782116549,0.0210774603875233,110.21319554963,4.52681178430307,14.3150357772886
500,"observed","nonspatial",1000,10,27.7081488954208,1.20752286862146,3.81852259158408,15.8472565937864,0.731722461797843,2.31390959438673,0.948979591836735,0.00548452908047519,0.0173436037877305,107.736803928374,4.66008479997277,14.7364820574441
500,"observed","spatial",0,10,16.5380968452797,0.57960250252108,1.8328640455001,9.4117651476992,0.334416610166632,1.05751817551918,0.948979591836735,0.00697071480677523,0.0220433357088702,68.0576287463826,1.84431031809214,5.83222131732082
500,"observed","spatial",50,10,26.0230273133101,0.453258301745041,1.4333286018942,14.8139621700718,0.276530282798299,0.874465535653105,0.930612244897959,0.00971622915448007,0.030725414396289,100.979831194586,2.09766654380256,6.63340404994946
500,"observed","spatial",150,10,29.7551794429347,0.486937403818125,1.53983127399445,16.948917731428,0.30882452310136,0.976588890315583,0.924489795918367,0.0101129719369514,0.0319800252341311,114.246702839235,2.38158685699474,7.53123891362508
500,"observed","spatial",350,10,28.504717871156,0.615688394993498,1.94697765711287,16.2263959892582,0.373733226709979,1.18184823368761,0.936734693877551,0.00641767423949428,0.0202944678777909,111.714116107402,2.62776647160215,8.30972720928695
500,"observed","spatial",750,10,25.3980172947298,0.75459449930781,2.38623732764703,14.4644783836669,0.445002280110012,1.40722076911588,0.946938775510204,0.00333263910582744,0.0105387301937616,101.037471692298,2.64616038852235,8.36789388184671
500,"observed","spatial",1000,10,24.261761254268,0.760626997561142,2.40531376210855,13.8062593540414,0.441571005695538,1.39637012668909,0.951020408163265,0.00544217687074829,0.0172096743410524,97.3131088906015,2.47802536713275,7.83620425981446
1000,"latent","nonspatial",0,10,3.14519269820129,0.397010359144923,1.25545698957941,1.69682577730623,0.150963890681891,0.477389738995444,0.995918367346939,0.00408163265306123,0.0129072557557893,14.999037644581,0.421650894774557,1.33337720493559
1000,"latent","nonspatial",50,10,19.8952203556174,0.444402248928669,1.40532330391572,13.4903984754836,0.3447068252555,1.09005869281303,0.393877551020408,0.0206448855857055,0.0652848604844086,22.0457451917522,0.440991125178913,1.39453638348579
1000,"latent","nonspatial",150,10,24.6114458815174,0.548475631871071,1.73443223781262,16.9488863167787,0.449446297940554,1.4212739874228,0.357142857142857,0.0190597628926829,0.0602722624036372,24.9939503240438,0.50577581467047,1.59940355978589
1000,"latent","nonspatial",350,10,24.6655627797,0.794175693101471,2.51140405254352,17.2468864001788,0.649192934741813,2.05292831467318,0.348979591836735,0.0165097429925328,0.0522083914404079,25.0095988693765,0.66146698518642,2.09174227019394
1000,"latent","nonspatial",750,10,23.0546510656869,1.17265818379792,3.7082707776378,16.1298239214141,0.937755611855336,2.96544362206766,0.351020408163265,0.0244897959183673,0.0774435345347358,24.133264617488,0.914503547704542,2.8919141390508
1000,"latent","nonspatial",1000,10,22.2572508774656,1.28486385793898,4.06309627431819,15.5190177711788,1.0322226322326,3.26417457022936,0.359183673469388,0.0177914242593497,0.0562614234779193,23.7567387823957,0.989814810680237,3.13006926351791
1000,"latent","spatial",0,10,3.1542639423199,0.396070777067974,1.25248577016759,2.69332122426975,0.109805189407535,0.347234497434005,1,0,0,41.4026283227783,1.00501260181493,3.17812889890707
1000,"latent","spatial",50,10,19.9481819893195,0.448114944762263,1.41706387900929,11.6416218785049,0.288231341601948,0.9114675325082,0.853061224489796,0.0117038439007383,0.0370108041054026,59.2967216866289,1.05334094556593,3.33095654070378
1000,"latent","spatial",150,10,24.6688904259905,0.582654720033513,1.84251600475364,14.6358670098509,0.398262165335474,1.25941554833066,0.826530612244898,0.010647942749999,0.0336717514850737,67.307948905817,1.43596047482567,4.540905730426
1000,"latent","spatial",350,10,23.5539643779025,0.586722478258614,1.85537938571584,13.906475153585,0.379284147274129,1.19940178578099,0.857142857142857,0.0169386389088282,0.0535646794150463,70.5895195107893,2.58109087334877,8.16212600765531
1000,"latent","spatial",750,10,19.8372362510469,0.750676367642153,2.37384710741113,11.5218405921804,0.45909296734743,1.45177943458319,0.902040816326531,0.0231292517006803,0.0731411159494727,67.1238801478928,2.61260802703678,8.261791998675
1000,"latent","spatial",1000,10,18.4673523100465,0.84564322732889,2.67415868625484,10.6592205421843,0.492337900061314,1.5569091426181,0.916326530612245,0.0218217890235992,0.0690065559342354,65.2777177209933,2.37207959166357,7.50117430085905
1000,"observed","nonspatial",0,10,16.5220648969372,0.587561549251885,1.85803276117316,9.40870194714695,0.340457006553622,1.07661958607232,0.957142857142857,0.00641767423949428,0.0202944678777909,69.2166422065288,1.87883954699025,5.94141232648813
1000,"observed","nonspatial",50,10,26.0000237177915,0.483818697100819,1.52996905741369,14.7929203056132,0.294679027750567,0.931856906375756,0.940816326530612,0.00565076453259732,0.0178692864443043,102.502473529332,2.10247193786585,6.64860004024411
1000,"observed","nonspatial",150,10,29.7516064958428,0.502553095784099,1.58921242784652,16.9539806481254,0.321344746853209,1.01618131418637,0.930612244897959,0.00971622915448007,0.030725414396289,115.93624231221,2.33701506361418,7.3902905271441
1000,"observed","nonspatial",350,10,29.6996107712014,0.799240661360964,2.52742088851998,16.9328726568338,0.482295482044075,1.52515222846812,0.940816326530612,0.00641767423949428,0.0202944678777909,116.354566194681,3.2362230635726,10.2338358972573
1000,"observed","nonspatial",750,10,28.3619679680163,1.14442083539406,3.61897644159788,16.2042154407566,0.696652795709804,2.20300957276696,0.951020408163265,0.00544217687074829,0.0172096743410524,112.173924784726,4.48157284515953,14.1719776906652
1000,"observed","nonspatial",1000,10,27.7102516410102,1.20903083572513,3.82329120226828,15.8404846100717,0.730885161721378,2.31126181906007,0.953061224489796,0.0043558668281856,0.0137744603614398,109.736876401932,4.59232090167785,14.5221937957002
1000,"observed","spatial",0,10,16.5387584152487,0.580884906866072,1.83691936411157,9.43402588219973,0.328590832980174,1.03909545046932,0.963265306122449,0.0066652782116549,0.0210774603875233,73.4843354459798,1.70319741462713,5.38598313513192
1000,"observed","spatial",50,10,25.9974867663461,0.456099081668203,1.44231193678267,14.7944833860128,0.27716069897651,0.876459086650069,0.942857142857143,0.00593047475311655,0.0187538078259731,104.69852951148,1.95579318314643,6.18476109097356
1000,"observed","spatial",150,10,29.7464827200585,0.487212980748814,1.54070272476602,16.9357069457199,0.307846819008007,0.973497118502919,0.930612244897959,0.0110531134756952,0.0349530138194969,117.581879949103,2.35106519318254,7.43472093800059
1000,"observed","spatial",350,10,28.6459339498271,0.623812829969752,1.97266937633976,16.2979519226768,0.375783123127208,1.18833057533347,0.942857142857143,0.0066652782116549,0.0210774603875233,115.830570601154,2.62407393280932,8.2980503763531
1000,"observed","spatial",750,10,25.5454446897485,0.773283732556665,2.44533787243556,14.5491659378542,0.450362793923943,1.4241722021967,0.963265306122449,0.00509069032214141,0.0160981762805432,105.945239496067,2.61199391633787,8.25985001013096
1000,"observed","spatial",1000,10,24.455367472966,0.784034934497025,2.47933615815152,13.9206450974401,0.446756817630732,1.41276910392158,0.96530612244898,0.00683665008239516,0.0216193858259465,102.48638131246,2.39067122025259,7.55996619261226
