"prior_scale","target","eff_range","n_reps","RMSPE_improvement_pct_mean","RMSPE_improvement_pct_se","RMSPE_improvement_pct_sd","CRPS_improvement_pct_mean","CRPS_improvement_pct_se","CRPS_improvement_pct_sd","RMSPE_win_mean","RMSPE_win_se","RMSPE_win_sd","CRPS_win_mean","CRPS_win_se","CRPS_win_sd"
250,"latent",0,10,-1.29492147307943,1.28015645369106,4.0482101550276,-45.9640726268533,7.87785213377818,24.9119558127565,0.4,0.163299316185545,0.516397779494322,0,0,0
250,"latent",50,10,-0.356134288459171,0.221719484621453,0.701138573042467,11.1387549740483,0.358326498720201,1.13312788194924,0.2,0.133333333333333,0.421637021355784,1,0,0
250,"latent",150,10,-0.194285535861607,0.485759231098633,1.53610556472377,10.7961008717142,0.445435762936497,1.40859156217414,0.5,0.166666666666667,0.52704627669473,1,0,0
250,"latent",350,10,4.66821415748664,1.91288302305785,6.0490672503312,17.4522813744029,2.39181206967623,7.56357387525824,0.8,0.133333333333333,0.421637021355784,1,0,0
250,"latent",750,10,13.1104450246176,4.84908434105114,15.3341510839783,26.2314075751566,5.11016168797372,16.1597501457276,0.9,0.1,0.316227766016838,1,0,0
250,"latent",1000,10,16.2165975379501,5.35942655732301,16.9479948735357,29.0722723416269,5.46322461161857,17.2762331418035,1,0,0,1,0,0
250,"observed",0,10,-0.141919554596032,0.143516487605334,0.453838982620181,-0.101678892126651,0.162617131156141,0.514240521015736,0.4,0.163299316185545,0.516397779494322,0.4,0.163299316185545,0.516397779494322
250,"observed",50,10,-0.0585349588415479,0.214198016292555,0.67735360177433,-0.0967100493587518,0.260202018162671,0.822831029166542,0.5,0.166666666666667,0.52704627669473,0.4,0.163299316185545,0.516397779494322
250,"observed",150,10,-0.0488442760942868,0.396250101657422,1.25305284431071,-0.000237257952117332,0.410233999445613,1.29727381188839,0.6,0.163299316185545,0.516397779494322,0.6,0.163299316185545,0.516397779494322
250,"observed",350,10,3.73735834156361,1.87418602261725,5.92669659032236,3.89188222633242,1.98321454551603,6.27147505260631,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
250,"observed",750,10,9.35622498550318,4.21568308542455,13.3311604433878,9.49352183052529,4.35867711073174,13.7833472551543,0.8,0.133333333333333,0.421637021355784,0.7,0.152752523165195,0.483045891539648
250,"observed",1000,10,11.2357620767446,4.53463162867059,14.339764296438,11.5496978546301,4.61092620278382,14.5810289237483,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
500,"latent",0,10,-0.616547638246407,0.879027755226405,2.77972983302042,-55.3634275510413,8.85555658759618,28.0037287653123,0.4,0.163299316185545,0.516397779494322,0,0,0
500,"latent",50,10,-0.381304498871869,0.215165762281034,0.680413883294415,12.665522463846,0.358682004532531,1.13425209003764,0.2,0.133333333333333,0.421637021355784,1,0,0
500,"latent",150,10,-0.197010513966922,0.483498427045589,1.52895627457282,12.5654603272804,0.45219798937583,1.42997559977624,0.5,0.166666666666667,0.52704627669473,1,0,0
500,"latent",350,10,4.70943941304917,1.92545712822238,6.08883006218958,18.6930725074851,2.19406944606735,6.93825679415678,0.8,0.133333333333333,0.421637021355784,1,0,0
500,"latent",750,10,12.9006388314627,4.90132916426149,15.4993637212759,26.688353453954,5.0208440975109,15.877303124747,0.9,0.1,0.316227766016838,1,0,0
500,"latent",1000,10,15.9015787339686,5.45003819050439,17.2345340168965,29.3899127576742,5.39350275607212,17.0557532755834,1,0,0,1,0,0
500,"observed",0,10,-0.119585592426595,0.105145374381496,0.332498868476645,-0.107750516940696,0.154329069014076,0.488031367257795,0.4,0.163299316185545,0.516397779494322,0.4,0.163299316185545,0.516397779494322
500,"observed",50,10,-0.105541930462373,0.205779333817473,0.650731390255325,-0.123818886888818,0.255385334153713,0.807599336928922,0.5,0.166666666666667,0.52704627669473,0.4,0.163299316185545,0.516397779494322
500,"observed",150,10,-0.0316622381300816,0.402021716355748,1.27130429253433,0.047681614943937,0.417426885695411,1.32001971538826,0.6,0.163299316185545,0.516397779494322,0.6,0.163299316185545,0.516397779494322
500,"observed",350,10,3.7370320055185,1.90179909594004,6.01401679521961,3.90104156195317,2.00410795584201,6.33754581732492,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
500,"observed",750,10,9.18783171586557,4.23817688110799,13.4022920709699,9.37871257512736,4.36871213134405,13.8150807766559,0.8,0.133333333333333,0.421637021355784,0.7,0.152752523165195,0.483045891539648
500,"observed",1000,10,10.9383370204222,4.5561389373799,14.4077763782998,11.2602469528233,4.63250632772791,14.6492712707626,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
1000,"latent",0,10,-0.262260782330923,0.773156337995608,2.4449350154611,-65.8852526355395,9.55673920427193,30.2210628897245,0.4,0.163299316185545,0.516397779494322,0,0,0
1000,"latent",50,10,-0.264877223491941,0.156502126006541,0.494903176839341,13.6850181253551,0.381703872874738,1.20705362999154,0.2,0.133333333333333,0.421637021355784,1,0,0
1000,"latent",150,10,-0.215152639097298,0.453730886953757,1.43482304754225,13.6546565979271,0.449959840374769,1.42289795119006,0.5,0.166666666666667,0.52704627669473,1,0,0
1000,"latent",350,10,4.17000786174814,1.77175653666721,5.60278611516003,18.9097803348213,1.92027132090123,6.07243109954798,0.8,0.133333333333333,0.421637021355784,1,0,0
1000,"latent",750,10,12.0671485002972,5.00388481673946,15.8236731700309,26.2814481630295,5.00304876993499,15.8210293578983,0.9,0.1,0.316227766016838,1,0,0
1000,"latent",1000,10,14.6171844192678,5.6600379125785,17.8986114466531,28.4035313269204,5.53627197461264,17.5072291859338,0.9,0.1,0.316227766016838,1,0,0
1000,"observed",0,10,-0.116633444032615,0.111604632374012,0.352924835727643,-0.322962326133851,0.198094999123099,0.626431390318051,0.5,0.166666666666667,0.52704627669473,0.2,0.133333333333333,0.421637021355784
1000,"observed",50,10,-0.0101021710641395,0.174757969337299,0.552633222371731,-0.0348772771612005,0.218138609176177,0.689814850618025,0.5,0.166666666666667,0.52704627669473,0.4,0.163299316185545,0.516397779494322
1000,"observed",150,10,0.00466762294734905,0.357112363778677,1.12928845014723,0.0892735278331963,0.367668726457457,1.16267060001897,0.6,0.163299316185545,0.516397779494322,0.6,0.163299316185545,0.516397779494322
1000,"observed",350,10,3.28139798726657,1.75655937118125,5.55472845824588,3.44975229874113,1.86638846331028,5.90203854272208,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
1000,"observed",750,10,8.67385845002818,4.24943952002206,13.4379076624024,8.82388094214113,4.37359433781178,13.8305196691011,0.7,0.152752523165195,0.483045891539648,0.7,0.152752523165195,0.483045891539648
1000,"observed",1000,10,10.2166384444476,4.64402304622915,14.6856903323976,10.4743795599571,4.68976842735585,14.8303499291904,0.8,0.133333333333333,0.421637021355784,0.8,0.133333333333333,0.421637021355784
