"model","attempt","iterations","max_rhat","min_ess_bulk","min_ess_tail","passed","elapsed_seconds","rep_id","eff_range","prior_scale"
"nonspatial",1,10000,1.00242069365,2894.71919120685,2631.02957883073,TRUE,6.166,1,150,500
"spatial",1,10000,1.00728858198313,1040.94821549697,748.212413302582,TRUE,251.1,2,150,500
"nonspatial",1,10000,1.00265695691663,2844.32893935952,2722.50323196691,TRUE,6.19499999999999,2,150,500
"spatial",1,10000,1.00835503707839,837.067842561077,571.851604781954,TRUE,251.206,3,150,500
"nonspatial",1,10000,1.00455657334963,2555.14975366242,2339.78492068676,TRUE,5.851,3,150,500
"spatial",1,10000,1.00574599730013,960.020059853555,662.157459171453,TRUE,250.752,4,150,500
"nonspatial",1,10000,1.00403201339806,2648.36559786428,2586.95636121904,TRUE,6.09199999999998,4,150,500
"spatial",1,10000,1.00762770509632,942.429029114759,696.686371015962,TRUE,264.426,5,150,500
"nonspatial",1,10000,1.00166627647415,2646.47204425588,2689.42297403575,TRUE,5.97500000000002,5,150,500
"spatial",1,10000,1.00528091353687,1055.63117386529,901.729402132691,TRUE,264.853,6,150,500
"nonspatial",1,10000,1.00308435289006,2556.65631452816,2694.31432453559,TRUE,6.58500000000004,6,150,500
"spatial",1,10000,1.00779370992603,1070.50248522839,652.759689471218,TRUE,264.419,7,150,500
"nonspatial",1,10000,1.00261198172372,2796.73117259362,2527.02166361952,TRUE,6.35900000000004,7,150,500
"spatial",1,10000,1.00825441463153,1070.23305895574,1047.90092164953,TRUE,264.541,8,150,500
"nonspatial",1,10000,1.00263974896752,2805.58837074534,2930.57701131356,TRUE,6.34299999999996,8,150,500
"spatial",1,10000,1.00429180853419,996.015884023837,954.085534015317,TRUE,264.534,9,150,500
"nonspatial",1,10000,1.00338269548216,2800.58123485651,2492.30536409194,TRUE,6.37400000000002,9,150,500
"spatial",1,10000,1.0065158432102,894.395814624522,905.901858020182,TRUE,265.636,10,150,500
"nonspatial",1,10000,1.00197446086443,2439.61713266298,2335.22033491832,TRUE,6.255,10,150,500
"spatial",1,10000,1.0095191344379,1116.91876180317,1216.8761760857,TRUE,264.709,1,350,500
"nonspatial",1,10000,1.00201580506644,2957.72504246888,2846.13096588252,TRUE,6.31700000000001,1,350,500
"spatial",1,10000,1.00605013636701,1174.73625514688,971.05097535149,TRUE,264.375,2,350,500
"nonspatial",1,10000,1.00239679694637,2731.82426274525,2757.16008971408,TRUE,6.01900000000001,2,350,500
"spatial",1,10000,1.00817187228061,936.308480321205,604.070831945586,TRUE,264.97,3,350,500
"nonspatial",1,10000,1.00340195172684,2652.30446945573,2658.5104375723,TRUE,5.93599999999992,3,350,500
"spatial",1,10000,1.00697100042058,710.858435227494,399.132080599296,FALSE,264.825,4,350,500
"spatial",2,20000,1.00509449425488,1512.65008291275,1167.02421013862,TRUE,484.93,4,350,500
